Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
44,CS44,UnusedDeclaration,,_isFiredByUpdate,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
45,CS45,UnusedDeclaration,,_set,PgSavepoint,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-master,3/19/2019
46,CS46,UnusedDeclaration,,_unregister,XactListener,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-master,3/19/2019
47,CS47,UnusedDeclaration,,_forSqlType,Oid,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-master,3/19/2019
48,CS48,UnusedDeclaration,,_freeTupleDesc,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
49,CS49,UnusedDeclaration,,_freeTupTable,SPI,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-master,3/19/2019
50,CS50,UnusedDeclaration,,_nextBuffer,VarlenaWrapper,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/VarlenaWrapper.java,VarlenaWrapper.java,pljava,pljava-master,3/19/2019
51,CS51,UnusedDeclaration,,_isCreatingExtension,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
52,CS52,UnusedDeclaration,,_getSqlState,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
53,CS53,UnusedDeclaration,,_getCurrent,Invocation,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-master,3/19/2019
54,CS54,UnusedDeclaration,,_register,XactListener,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-master,3/19/2019
55,CS55,UnusedDeclaration,,_prepare,ExecutionPlan,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-master,3/19/2019
56,CS56,UnusedDeclaration,,_getProcessed,SPI,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-master,3/19/2019
57,CS57,UnusedDeclaration,,_getDetail,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
58,CS58,UnusedDeclaration,,_isFiredForStatement,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
59,CS59,UnusedDeclaration,,_getStatementCacheSize,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
60,CS60,UnusedDeclaration,,_getTupTable,SPI,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-master,3/19/2019
61,CS61,UnusedDeclaration,,_getTupleDesc,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
62,CS62,UnusedDeclaration,,_getJavaClassName,Oid,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-master,3/19/2019
63,CS63,UnusedDeclaration,,_isOutputToServer,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
64,CS64,UnusedDeclaration,,_isFiredForEachRow,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
65,CS65,UnusedDeclaration,,_isOutputToClient,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
66,CS66,UnusedDeclaration,,_getContextMessage,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
67,CS67,UnusedDeclaration,,_getInternalQuery,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
68,CS68,UnusedDeclaration,,_getPortalPos,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
69,CS69,UnusedDeclaration,,_log,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
70,CS70,UnusedDeclaration,,_close,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
71,CS71,UnusedDeclaration,,_move,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
72,CS72,UnusedDeclaration,,_getObject,Tuple,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Tuple.java,Tuple.java,pljava,pljava-master,3/19/2019
73,CS73,UnusedDeclaration,,_getLineno,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
74,CS74,UnusedDeclaration,,_getNewTuple,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
75,CS75,UnusedDeclaration,,_getConfigOption,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
76,CS76,UnusedDeclaration,,_setUser,Session,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Session.java,Session.java,pljava,pljava-master,3/19/2019
77,CS77,UnusedDeclaration,,_heapFreeTuple,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
78,CS78,UnusedDeclaration,,_memContextDelete,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
79,CS79,UnusedDeclaration,,_dummy,TypeOid,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/TypeOid.java,TypeOid.java,pljava,pljava-master,3/19/2019
80,CS80,UnusedDeclaration,,_execute,ExecutionPlan,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-master,3/19/2019
81,CS81,UnusedDeclaration,,_getName,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
82,CS82,UnusedDeclaration,,_spiFreePlan,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
83,CS83,UnusedDeclaration,,_getCursorPos,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
84,CS84,UnusedDeclaration,,_isAtStart,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
85,CS85,UnusedDeclaration,,_rollback,PgSavepoint,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-master,3/19/2019
86,CS86,UnusedDeclaration,,_getMessage,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
87,CS87,UnusedDeclaration,,_clearErrorCondition,Invocation,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-master,3/19/2019
88,CS88,UnusedDeclaration,,_forTypeName,Oid,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-master,3/19/2019
89,CS89,UnusedDeclaration,,_getColumnIndex,TupleDesc,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-master,3/19/2019
90,CS90,UnusedDeclaration,,_getHint,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
91,CS91,UnusedDeclaration,,_getArguments,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
92,CS92,UnusedDeclaration,,_getTypeId,Oid,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-master,3/19/2019
93,CS93,UnusedDeclaration,,_getErrorLevel,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
94,CS94,UnusedDeclaration,,_ensureCapacity,SQLOutputToChunk,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SQLOutputToChunk.java,SQLOutputToChunk.java,pljava,pljava-master,3/19/2019
95,CS95,UnusedDeclaration,,_getFilename,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
96,CS96,UnusedDeclaration,,_isFiredBefore,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
97,CS97,UnusedDeclaration,,_freeErrorData,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
98,CS98,UnusedDeclaration,,_getTriggerTuple,TriggerData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-master,3/19/2019
99,CS99,UnusedDeclaration,,_isCursorPlan,ExecutionPlan,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-master,3/19/2019
100,CS100,UnusedDeclaration,,_getOuterUser,AclId,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-master,3/19/2019
101,CS101,UnusedDeclaration,,_fetch,VarlenaWrapper,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/VarlenaWrapper.java,VarlenaWrapper.java,pljava,pljava-master,3/19/2019
102,CS102,UnusedDeclaration,,_getSchema,Relation,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-master,3/19/2019
103,CS103,UnusedImplementation,,isCallingJava,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
104,CS104,UnusedParameters,columnLabel,updateBlob,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
105,CS105,UnusedParameters,sql,prepareStatement,SPIConnection,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIConnection.java,SPIConnection.java,pljava,pljava-master,3/19/2019
106,CS106,UnusedParameters,x,updateObject,ReadOnlyResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/ReadOnlyResultSet.java,ReadOnlyResultSet.java,pljava,pljava-master,3/19/2019
107,CS107,UnusedParameters,columnIndex,updateBlob,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
108,CS108,UnusedParameters,url,getPropertyInfo,SPIDriver,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIDriver.java,SPIDriver.java,pljava,pljava-master,3/19/2019
109,CS109,UnusedParameters,milliseconds,setNetworkTimeout,SPIConnection,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIConnection.java,SPIConnection.java,pljava,pljava-master,3/19/2019
110,CS110,UnusedParameters,context,checkPermission,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
111,CS111,UnusedParameters,tableNamePattern,getSuperTables,SPIDatabaseMetaData,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIDatabaseMetaData.java,SPIDatabaseMetaData.java,pljava,pljava-master,3/19/2019
112,CS112,UnusedParameters,executor,setNetworkTimeout,SPIConnection,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIConnection.java,SPIConnection.java,pljava,pljava-master,3/19/2019
113,CS113,UnusedParameters,catalog,getFunctions,SPIDatabaseMetaData,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIDatabaseMetaData.java,SPIDatabaseMetaData.java,pljava,pljava-master,3/19/2019
114,CS114,UnusedParameters,pos,setCharacterStream,ClobValue,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/ClobValue.java,ClobValue.java,pljava,pljava-master,3/19/2019
