language,project,file_name,sha,author,author_date,is_bug,insertion,deletion
java,conscrypt,testing/src/main/java/org/conscrypt/java/security/AbstractKeyFactoryTest.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,39,18
java,conscrypt,testing/src/main/java/org/conscrypt/java/security/DefaultKeys.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,10,1
java,conscrypt,common/src/main/java/org/conscrypt/NativeCrypto.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,3,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLX509CRL.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,9,3
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptJava7Suite.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptSuite.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/CertificateFactoryTest.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,114,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/X509CRLTest.java,d555e759059ab8fd411a38c28db5813406d114ed,Adam Vartanian,2019-08-07 15:15:30,,132,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/SignatureTest.java,057f75582b92f26ccc5ca163f787664a344ecba8,Adam Vartanian,2019-08-06 19:01:01,,95,107
java,conscrypt,common/src/main/java/org/conscrypt/ConscryptEngineSocket.java,7d2a092f9cdb250b475d9f84f20e845a43ff79e1,Adam Vartanian,2019-08-02 10:10:48,,1,2
java,conscrypt,common/src/main/java/org/conscrypt/ConscryptFileDescriptorSocket.java,7d2a092f9cdb250b475d9f84f20e845a43ff79e1,Adam Vartanian,2019-08-02 10:10:48,,5,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLSocketTest.java,7d2a092f9cdb250b475d9f84f20e845a43ff79e1,Adam Vartanian,2019-08-02 10:10:48,,23,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipher.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,1,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipherAES.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,1,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLCipherRSA.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,2,2
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLEvpCipher.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,1,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLEvpCipherAES.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,11,10
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLEvpCipherDESEDE.java,7c537da447eb3a9ba71dbecbaa4f306ebe948910,Adam Vartanian,2019-07-31 14:57:02,,2,2
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/X509CertificateTest.java,97ba8255fedbaea60f54ae9262cd8884e848b47f,Adam Vartanian,2019-07-31 11:44:57,,2,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/SignatureTest.java,419c03feadfe90ab7f0bd143dba1eca1519e7229,Adam Vartanian,2019-07-29 07:17:32,,5,5
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherTest.java,419c03feadfe90ab7f0bd143dba1eca1519e7229,Adam Vartanian,2019-07-29 07:17:32,,1,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLEngineVersionCompatibilityTest.java,419c03feadfe90ab7f0bd143dba1eca1519e7229,Adam Vartanian,2019-07-29 07:17:32,,0,8
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLSocketTest.java,419c03feadfe90ab7f0bd143dba1eca1519e7229,Adam Vartanian,2019-07-29 07:17:32,,0,2
properties,conscrypt,test_logging.properties,419c03feadfe90ab7f0bd143dba1eca1519e7229,Adam Vartanian,2019-07-29 07:17:32,,1,0
java,conscrypt,common/src/main/java/org/conscrypt/ConscryptEngine.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,30,46
java,conscrypt,common/src/main/java/org/conscrypt/ConscryptEngineSocket.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,13,0
java,conscrypt,common/src/main/java/org/conscrypt/NativeSsl.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,27,4
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLEngineVersionCompatibilityTest.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,88,4
java,conscrypt,openjdk/src/test/java/org/conscrypt/ConscryptEngineTest.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,15,2
java,conscrypt,testing/src/main/java/org/conscrypt/javax/net/ssl/TestSSLEnginePair.java,2c7c55216c5930bc774113b18208de3994a6f852,Adam Vartanian,2019-07-26 10:55:07,,4,7
java,conscrypt,common/src/main/java/org/conscrypt/KeyManagerImpl.java,2c6258d0879acbc1ac8a06044ba0c532831f37c5,Adam Vartanian,2019-07-25 07:33:17,,10,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/KeyManagerFactoryTest.java,2c6258d0879acbc1ac8a06044ba0c532831f37c5,Adam Vartanian,2019-07-25 07:33:17,,198,0
java,conscrypt,common/src/main/java/org/conscrypt/CryptoUpcalls.java,0de9526f898e4632c382509c7f6603c99746e1c8,Adam Vartanian,2019-07-24 09:33:18,,9,2
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/SignatureTest.java,0de9526f898e4632c382509c7f6603c99746e1c8,Adam Vartanian,2019-07-24 09:33:18,,59,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLSocketVersionCompatibilityTest.java,0de9526f898e4632c382509c7f6603c99746e1c8,Adam Vartanian,2019-07-24 09:33:18,,2,244
java,conscrypt,testing/src/main/java/org/conscrypt/testing/BrokenProvider.java,0de9526f898e4632c382509c7f6603c99746e1c8,Adam Vartanian,2019-07-24 09:33:18,,76,0
java,conscrypt,testing/src/main/java/org/conscrypt/testing/OpaqueProvider.java,0de9526f898e4632c382509c7f6603c99746e1c8,Adam Vartanian,2019-07-24 09:33:18,,342,0
yml,conscrypt,.travis.yml,461b3255f83ad8e5d6964ee4b71098dd745c30f9,Adam Vartanian,2019-07-18 13:00:26,,8,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyPairGeneratorTest.java,461b3255f83ad8e5d6964ee4b71098dd745c30f9,Adam Vartanian,2019-07-18 13:00:26,,1,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/MessageDigestTest.java,461b3255f83ad8e5d6964ee4b71098dd745c30f9,Adam Vartanian,2019-07-18 13:00:26,,27,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/SignatureTest.java,461b3255f83ad8e5d6964ee4b71098dd745c30f9,Adam Vartanian,2019-07-18 13:00:26,,22,3
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherBasicsTest.java,461b3255f83ad8e5d6964ee4b71098dd745c30f9,Adam Vartanian,2019-07-18 13:00:26,,6,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/ECDHKeyAgreementTest.java,3528000172bf278b60fd08f93bf0421abd951d3f,Adam Vartanian,2019-07-18 08:53:21,,39,0
yml,conscrypt,.travis.yml,bf01cd30c1b6955a8e046c5c9f3b39f4a1c5c5bd,Adam Vartanian,2019-07-17 14:54:39,,1,3
readme,conscrypt,README.md,120aa9708d480ff357552bce51617df4dcc719ad,Matt Eaton,2019-07-17 12:15:10,,1,1
readme,conscrypt,CAPABILITIES.md,074c93dae3f54e0efd793c24a7ae552e4a279986,Adam Vartanian,2019-07-17 10:58:32,,9,6
java,conscrypt,common/src/main/java/org/conscrypt/OidData.java,bef92ec8838c675288d1363a5a681af2f1de9b9e,Adam Vartanian,2019-04-18 12:22:45,,63,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLX509CRL.java,bef92ec8838c675288d1363a5a681af2f1de9b9e,Adam Vartanian,2019-04-18 12:22:45,,5,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLX509Certificate.java,bef92ec8838c675288d1363a5a681af2f1de9b9e,Adam Vartanian,2019-04-18 12:22:45,,5,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/X509CertificateTest.java,bef92ec8838c675288d1363a5a681af2f1de9b9e,Adam Vartanian,2019-04-18 12:22:45,,51,34
java,conscrypt,openjdk/src/main/java/org/conscrypt/Platform.java,bef92ec8838c675288d1363a5a681af2f1de9b9e,Adam Vartanian,2019-04-18 12:22:45,,4,1
gradle,conscrypt,build.gradle,bf1c7a9736de1e49d7781aca5732759f0bbca2c6,Adam Vartanian,2019-04-18 10:47:05,,0,1
java,conscrypt,common/src/main/java/org/conscrypt/AddressUtils.java,23fe76e049edced864569d869e2ab54e5cb2ed17,Adam Vartanian,2019-04-17 07:19:39,,1,1
java,conscrypt,openjdk/src/test/java/org/conscrypt/AddressUtilsTest.java,23fe76e049edced864569d869e2ab54e5cb2ed17,Adam Vartanian,2019-04-17 07:19:39,,6,0
readme,conscrypt,IMPLEMENTATION_NOTES.md,f65ee122177041aeaf07d7ce5cf3eddd49e40e3f,Pete Bentley,2019-04-16 13:06:04,,45,0
readme,conscrypt,IMPLEMENTATION_NOTES.md,3613fa1ea29ad2a8baddf7adcd24866131425dfe,Adam Vartanian,2019-04-16 12:37:14,,45,0
cc,conscrypt,common/src/jni/main/cpp/conscrypt/jniutil.cc,1e36d52b1a1aefd40eab8586c8051e9685de1298,David Benjamin,2019-04-16 09:25:09,,8,1
java,conscrypt,common/src/main/java/org/conscrypt/ActiveSession.java,16923454816fb841a92748cf42679cdaf0c8b165,Adam Vartanian,2019-04-11 15:32:12,,12,3
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLEngineTest.java,16923454816fb841a92748cf42679cdaf0c8b165,Adam Vartanian,2019-04-11 15:32:12,,85,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/SSLSocketTest.java,16923454816fb841a92748cf42679cdaf0c8b165,Adam Vartanian,2019-04-11 15:32:12,,99,1
cc,conscrypt,common/src/jni/main/cpp/conscrypt/jniutil.cc,f2cdbe1e9ba8b03f0082439b7ffd10dd81f1b9fb,David Benjamin,2019-04-11 09:58:13,,0,27
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestAES.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,16,21
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDES.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,16,21
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDESede.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,16,21
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDSA.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,19,22
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestGCM.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,29,32
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestOAEP.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,118,114
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyPairGeneratorTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,79,197
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/MessageDigestTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,6,17
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/SignatureTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,17,31
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/CertificateFactoryTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,15,14
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/cert/X509CertificateTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,35,33
