system;version;release;FileName;JNINativeFlag;Smelly;excessiveInterlangCommunication;Toomuchclustring;ToomuchScattering;UnusedMethodDeclaration;UnusedMethodImplementation;UnusedParameter;AssumingSafeReturnValue;ExcessiveObjects;NotHandlingExceptions;NotCachingObjects;NotSecuringLibraries;HardCodingLibraries;NotUsingRelativePath;MemoryManagementMismatch;LocalReferencesAbuse;CLOC;PrevFixing;CodeChurn;InducingFlag;Inducing;LOC
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ApplicationProtocolSelector.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4180;1;0;1;1;56
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ApplicationProtocolSelectorAdapter.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4180;1;0;1;1;88
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ArrayUtils.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1794;2;0;1;2;35
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/BufferAllocator.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;2;54;1;1;44
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ByteArray.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/CertPinManager.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/CertificatePriorityComparator.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;871;1;0;1;1;168
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ChainStrengthAnalyzer.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;1;1;1;5;114
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ClientSessionContext.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;53717;3;123;1;10;198
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Conscrypt.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6689;7;598;1;6;532
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptCertStore.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptEngine.java;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;27810;21;1380;1;41;1745
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptEngineSocket.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18521;10;843;1;4;775
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptFileDescriptorSocket.java;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;20528;12;1561;1;10;1096
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptHostnameVerifier.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ConscryptServerSocket.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12456;3;37;1;7;189
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/DefaultSSLContextImpl.java;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/FileClientSessionCache.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41509;4;0;1;2;382
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/GCMParameters.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3295;2;16;1;3;154
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/HandshakeListener.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Internal.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/IvParameters.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Java7ExtendedSSLSession.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1475;1;185;1;1;185
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Java8EngineWrapper.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4180;1;326;1;1;331
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Java8ExtendedSSLSession.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1475;1;44;1;1;44
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/Java8FileDescriptorSocket.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/KeyGeneratorImpl.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/KeyManagerFactoryImpl.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;42554;3;1;1;4;116
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/KeyManagerImpl.java;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;43628;2;1;1;3;225
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/NativeCrypto.java;1;1;4;1;0;269;0;0;0;0;0;0;0;0;0;0;0;42147;29;1728;1;104;1329
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/NativeRef.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5749;2;36;1;10;148
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/NativeSsl.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11798;8;145;1;10;681
