Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
37,CS37,NotHandlingExceptions,consumed,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-1.3.4-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
38,CS38,NotHandlingExceptions,dstPos,Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,zstd-jni-1.3.4-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
39,CS39,NotCachingObjectsElements,nativePtr,Java_com_github_luben_zstd_ZstdDictDecompress_init,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
40,CS40,NotCachingObjectsElements,dstPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-1.3.4-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
41,CS41,NotCachingObjectsElements,produced,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-1.3.4-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
42,CS42,NotCachingObjectsElements,srcPos,Java_com_github_luben_zstd_ZstdOutputStream_initCStream,,,zstd-jni-1.3.4-1/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
43,CS43,NotCachingObjectsElements,consumed,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,zstd-jni-1.3.4-1/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
44,CS44,NotCachingObjectsElements,srcPos,Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,zstd-jni-1.3.4-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
45,CS45,NotCachingObjectsElements,dstPos,Java_com_github_luben_zstd_ZstdOutputStream_initCStream,,,zstd-jni-1.3.4-1/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
46,CS46,NotCachingObjectsElements,nativePtr,Java_com_github_luben_zstd_ZstdDictCompress_init,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
47,CS47,NotCachingObjectsElements,produced,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,zstd-jni-1.3.4-1/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
48,CS48,NotCachingObjectsElements,srcPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-1.3.4-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
49,CS49,NotCachingObjectsElements,consumed,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-1.3.4-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
50,CS50,NotCachingObjectsElements,dstPos,Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,zstd-jni-1.3.4-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
51,CS51,UnusedImplementation,,decompressedSize,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
52,CS52,UnusedImplementation,,windowLogMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
53,CS53,UnusedImplementation,,chainLogMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
54,CS54,UnusedImplementation,,compressByteArray,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
55,CS55,UnusedImplementation,,hashLogMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
56,CS56,UnusedImplementation,,searchLogMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
57,CS57,UnusedImplementation,,searchLogMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
58,CS58,UnusedImplementation,,searchLengthMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
59,CS59,UnusedImplementation,,blockSizeMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
60,CS60,UnusedImplementation,,magicNumber,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
61,CS61,UnusedImplementation,,hashLogMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
62,CS62,UnusedImplementation,,decompressByteArray,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
63,CS63,UnusedImplementation,,frameHeaderSizeMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
64,CS64,UnusedImplementation,,searchLengthMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
65,CS65,UnusedImplementation,,targetLengthMin,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
