Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
52,CS52,NotCachingObjectsElements,produced,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
53,CS53,NotCachingObjectsElements,nativePtr,Java_com_github_luben_zstd_ZstdDictCompress_init,,,zstd-jni-master/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
54,CS54,NotCachingObjectsElements,srcPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
55,CS55,NotCachingObjectsElements,consumed,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
56,CS56,UnusedDeclaration,,errWorkSpaceTooSmall,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
57,CS57,UnusedDeclaration,,errCorruptionDetected,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
58,CS58,UnusedDeclaration,,errStageWrong,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
59,CS59,UnusedDeclaration,,errVersionUnsupported,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
60,CS60,UnusedDeclaration,,errFrameParameterWindowTooLarge,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
61,CS61,UnusedDeclaration,,errParameterOutOfBound,Zstd,com.github.luben.zstd,zstd-jni-master/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-master,8/19/2019
